month,day,year,hour,minute,num_sum_points,zone,avg_split,avg_hr,split_file,hr_file
06,05,2022,11,50,4,2K,130.5,0,split_data/split_06-05-2022_11:50.npy,hr_data/hr_06-05-2022_11:50.npy
06,05,2022,16,52,5,UT2,164.6,0,split_data/split_06-05-2022_16:52.npy,hr_data/hr_06-05-2022_16:52.npy
06,06,2022,15,02,4,TRANS,125.9,0,split_data/split_06-06-2022_15:02.npy,hr_data/hr_06-06-2022_15:02.npy
06,07,2022,07,56,8,UT2,156.0,0,split_data/split_06-07-2022_07:56.npy,hr_data/hr_06-07-2022_07:56.npy
06,08,2022,07,54,8,UT2,161.3,0,split_data/split_06-08-2022_07:54.npy,hr_data/hr_06-08-2022_07:54.npy
06,08,2022,17,58,1,AT,139.0,0,split_data/split_06-08-2022_17:58.npy,hr_data/hr_06-08-2022_17:58.npy
06,09,2022,07,56,4,UT1,146.9,0,split_data/split_06-09-2022_07:56.npy,hr_data/hr_06-09-2022_07:56.npy
06,10,2022,16,40,40,UT2,148.7,0,split_data/split_06-10-2022_16:40.npy,hr_data/hr_06-10-2022_16:40.npy
06,12,2022,11,12,516,2K,128.7,0,split_data/split_06-12-2022_11:12.npy,hr_data/hr_06-12-2022_11:12.npy
06,13,2022,02,13,4,TRANS,128.8,0,split_data/split_06-13-2022_02:13.npy,hr_data/hr_06-13-2022_02:13.npy
06,13,2022,20,12,8,UT2,152.5,0,split_data/split_06-13-2022_20:12.npy,hr_data/hr_06-13-2022_20:12.npy
06,14,2022,11,55,14,UT1,145.1,0,split_data/split_06-14-2022_11:55.npy,hr_data/hr_06-14-2022_11:55.npy
06,15,2022,12,31,7,UT1,141.2,0,split_data/split_06-15-2022_12:31.npy,hr_data/hr_06-15-2022_12:31.npy
06,15,2022,19,20,5,UT2,156.5,0,split_data/split_06-15-2022_19:20.npy,hr_data/hr_06-15-2022_19:20.npy
06,16,2022,18,00,8,AT,130.8,0,split_data/split_06-16-2022_18:00.npy,hr_data/hr_06-16-2022_18:00.npy
06,17,2022,10,43,14,UT1,145.8,0,split_data/split_06-17-2022_10:43.npy,hr_data/hr_06-17-2022_10:43.npy
06,18,2022,14,25,9,AT,137.4,0,split_data/split_06-18-2022_14:25.npy,hr_data/hr_06-18-2022_14:25.npy
06,24,2022,18,20,22,UT2,155.8,0,split_data/split_06-24-2022_18:20.npy,hr_data/hr_06-24-2022_18:20.npy
06,27,2022,19,35,0,TRANS,124.2,0,split_data/split_06-27-2022_19:35.npy,hr_data/hr_06-27-2022_19:35.npy
06,28,2022,17,50,14,UT1,142.9,0,split_data/split_06-28-2022_17:50.npy,hr_data/hr_06-28-2022_17:50.npy
06,30,2022,12,57,0,AT,132.7,0,split_data/split_06-30-2022_12:57.npy,hr_data/hr_06-30-2022_12:57.npy
07,06,2022,17,44,0,UT1,139.8,0,split_data/split_07-06-2022_17:44.npy,hr_data/hr_07-06-2022_17:44.npy
07,08,2022,12,33,74,UT1,146.6,0,split_data/split_07-08-2022_12:33.npy,hr_data/hr_07-08-2022_12:33.npy
07,09,2022,19,24,0,UT2,152.1,0,split_data/split_07-09-2022_19:24.npy,hr_data/hr_07-09-2022_19:24.npy
07,11,2022,17,12,1992,2K,124.6,0,split_data/split_07-11-2022_17:12.npy,hr_data/hr_07-11-2022_17:12.npy
07,11,2022,18,05,1977,2K,123.8,0,split_data/split_07-11-2022_18:05.npy,hr_data/hr_07-11-2022_18:05.npy
07,12,2022,10,16,69,UT1,137.7,0,split_data/split_07-12-2022_10:16.npy,hr_data/hr_07-12-2022_10:16.npy
07,13,2022,12,45,30,UT2,148.1,0,split_data/split_07-13-2022_12:45.npy,hr_data/hr_07-13-2022_12:45.npy
07,15,2022,20,35,54,UT2,151.2,0,split_data/split_07-15-2022_20:35.npy,hr_data/hr_07-15-2022_20:35.npy
07,16,2022,16,01,22,AT,133.3,0,split_data/split_07-16-2022_16:01.npy,hr_data/hr_07-16-2022_16:01.npy
07,19,2022,10,27,79,UT2,149.0,0,split_data/split_07-19-2022_10:27.npy,hr_data/hr_07-19-2022_10:27.npy
07,20,2022,17,37,0,UT2,141.5,0,split_data/split_07-20-2022_17:37.npy,hr_data/hr_07-20-2022_17:37.npy
07,21,2022,11,36,35,AT,128.3,0,split_data/split_07-21-2022_11:36.npy,hr_data/hr_07-21-2022_11:36.npy
07,23,2022,20,59,44,AT,133.8,0,split_data/split_07-23-2022_20:59.npy,hr_data/hr_07-23-2022_20:59.npy
07,27,2022,09,00,49,UT2,146.3,0,split_data/split_07-27-2022_09:00.npy,hr_data/hr_07-27-2022_09:00.npy
07,28,2022,12,53,22,AT,127.1,0,split_data/split_07-28-2022_12:53.npy,hr_data/hr_07-28-2022_12:53.npy
07,29,2022,19,26,36,UT2,147.8,0,split_data/split_07-29-2022_19:26.npy,hr_data/hr_07-29-2022_19:26.npy
08,01,2022,21,45,14,TRANS,119.1,0,split_data/split_08-01-2022_21:45.npy,hr_data/hr_08-01-2022_21:45.npy
08,03,2022,19,12,40,UT2,145.8,0,split_data/split_08-03-2022_19:12.npy,hr_data/hr_08-03-2022_19:12.npy
08,03,2022,21,32,40,UT2,145.8,0,split_data/split_08-03-2022_21:32.npy,hr_data/hr_08-03-2022_21:32.npy
08,09,2022,17,52,59,UT2,146.9,0,split_data/split_08-09-2022_17:52.npy,hr_data/hr_08-09-2022_17:52.npy
08,09,2022,19,58,62,UT2,146.4,0,split_data/split_08-09-2022_19:58.npy,hr_data/hr_08-09-2022_19:58.npy
08,11,2022,19,33,1,UT2,154.8,0,split_data/split_08-11-2022_19:33.npy,hr_data/hr_08-11-2022_19:33.npy
08,11,2022,20,08,17,UT1,127.2,0,split_data/split_08-11-2022_20:08.npy,hr_data/hr_08-11-2022_20:08.npy
08,18,2022,19,20,59,UT2,146.7,0,split_data/split_08-18-2022_19:20.npy,hr_data/hr_08-18-2022_19:20.npy
08,19,2022,18,01,59,UT2,146.8,0,split_data/split_08-19-2022_18:01.npy,hr_data/hr_08-19-2022_18:01.npy
08,22,2022,07,36,44,UT2,147.4,0,split_data/split_08-22-2022_07:36.npy,hr_data/hr_08-22-2022_07:36.npy
08,29,2022,20,19,2,UT2,148.9,0,split_data/split_08-29-2022_20:19.npy,hr_data/hr_08-29-2022_20:19.npy
08,31,2022,07,35,0,AT,133.3,0,split_data/split_08-31-2022_07:35.npy,hr_data/hr_08-31-2022_07:35.npy
08,31,2022,20,17,2,UT2,147.8,0,split_data/split_08-31-2022_20:17.npy,hr_data/hr_08-31-2022_20:17.npy
09,01,2022,20,31,59,UT2,147.6,0,split_data/split_09-01-2022_20:31.npy,hr_data/hr_09-01-2022_20:31.npy
09,03,2022,20,25,46,UT2,149.2,0,split_data/split_09-03-2022_20:25.npy,hr_data/hr_09-03-2022_20:25.npy
09,06,2022,19,54,59,UT2,146.7,0,split_data/split_09-06-2022_19:54.npy,hr_data/hr_09-06-2022_19:54.npy
09,07,2022,23,52,23,UT2,150.0,0,split_data/split_09-07-2022_23:52.npy,hr_data/hr_09-07-2022_23:52.npy
09,09,2022,20,41,59,UT2,148.5,0,split_data/split_09-09-2022_20:41.npy,hr_data/hr_09-09-2022_20:41.npy
09,11,2022,13,12,2772,2K,120.4,0,split_data/split_09-11-2022_13:12.npy,hr_data/hr_09-11-2022_13:12.npy
09,16,2022,21,21,22,UT2,151.4,0,split_data/split_09-16-2022_21:21.npy,hr_data/hr_09-16-2022_21:21.npy
09,18,2022,18,02,44,UT2,153.0,0,split_data/split_09-18-2022_18:02.npy,hr_data/hr_09-18-2022_18:02.npy
09,24,2022,17,25,89,UT2,149.2,0,split_data/split_09-24-2022_17:25.npy,hr_data/hr_09-24-2022_17:25.npy
09,27,2022,20,17,44,UT2,146.8,0,split_data/split_09-27-2022_20:17.npy,hr_data/hr_09-27-2022_20:17.npy
10,01,2022,17,02,15,UT1,133.5,0,split_data/split_10-01-2022_17:02.npy,hr_data/hr_10-01-2022_17:02.npy
10,05,2022,19,39,14,UT2,152.8,0,split_data/split_10-05-2022_19:39.npy,hr_data/hr_10-05-2022_19:39.npy
10,09,2022,17,18,23,UT1,142.6,0,split_data/split_10-09-2022_17:18.npy,hr_data/hr_10-09-2022_17:18.npy
10,11,2022,19,36,79,UT2,146.7,0,split_data/split_10-11-2022_19:36.npy,hr_data/hr_10-11-2022_19:36.npy
10,22,2022,17,16,22,UT1,134.6,0,split_data/split_10-22-2022_17:16.npy,hr_data/hr_10-22-2022_17:16.npy
10,24,2022,19,02,79,UT2,150.0,0,split_data/split_10-24-2022_19:02.npy,hr_data/hr_10-24-2022_19:02.npy
10,28,2022,20,13,46,UT2,145.0,0,split_data/split_10-28-2022_20:13.npy,hr_data/hr_10-28-2022_20:13.npy
10,31,2022,19,03,43,UT2,148.4,0,split_data/split_10-31-2022_19:03.npy,hr_data/hr_10-31-2022_19:03.npy
